title,year,ratings
89. Capernaum,"2018,2h 6m,R,8.4, (,103K,),Rate","8.4, (,103K,),Rate"
90. Requiem for a Dream,"2000,1h 42m,Unrated,8.3, (,891K,),Rate","8.3, (,891K,),Rate"
91. Come and See,"1985,2h 22m,Not Rated,8.4, (,95K,),Rate","8.4, (,95K,),Rate"
92. Toy Story 3,"2010,1h 43m,G,8.3, (,885K,),Rate","8.3, (,885K,),Rate"
93. Star Wars: Episode VI - Return of the Jedi,"1983,2h 11m,PG,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
94. Poor Things,"2023,2h 21m,R,8.4, (,82K,),Rate","8.4, (,82K,),Rate"
95. Eternal Sunshine of the Spotless Mind,"2004,1h 48m,R,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
96. The Hunt,"2012,1h 55m,R,8.3, (,360K,),Rate","8.3, (,360K,),Rate"
97. 2001: A Space Odyssey,"1968,2h 29m,G,8.3, (,712K,),Rate","8.3, (,712K,),Rate"
98. Reservoir Dogs,"1992,1h 39m,R,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
99. Ikiru,"1952,2h 23m,Not Rated,8.3, (,86K,),Rate","8.3, (,86K,),Rate"
100. Lawrence of Arabia,"1962,3h 38m,Approved,8.3, (,311K,),Rate","8.3, (,311K,),Rate"
101. The Apartment,"1960,2h 5m,Approved,8.3, (,195K,),Rate","8.3, (,195K,),Rate"
102. Citizen Kane,"1941,1h 59m,PG,8.3, (,462K,),Rate","8.3, (,462K,),Rate"
103. North by Northwest,"1959,2h 16m,Approved,8.3, (,344K,),Rate","8.3, (,344K,),Rate"
104. M,"1931,1h 39m,Passed,8.3, (,167K,),Rate","8.3, (,167K,),Rate"
105. Vertigo,"1958,2h 8m,PG,8.3, (,423K,),Rate","8.3, (,423K,),Rate"
106. Double Indemnity,"1944,1h 47m,Passed,8.3, (,166K,),Rate","8.3, (,166K,),Rate"
107. Scarface,"1983,2h 50m,18+,8.3, (,906K,),Rate","8.3, (,906K,),Rate"
108. Amélie,"2001,2h 2m,R,8.3, (,789K,),Rate","8.3, (,789K,),Rate"
109. Incendies,"2010,2h 11m,R,8.3, (,195K,),Rate","8.3, (,195K,),Rate"
110. Full Metal Jacket,"1987,1h 56m,R,8.3, (,783K,),Rate","8.3, (,783K,),Rate"
111. A Clockwork Orange,"1971,2h 16m,X,8.3, (,874K,),Rate","8.3, (,874K,),Rate"
112. Heat,"1995,2h 50m,R,8.3, (,711K,),Rate","8.3, (,711K,),Rate"
113. Up,"2009,1h 36m,PG,8.3, (,1.1M,),Rate","8.3, (,1.1M,),Rate"
114. To Kill a Mockingbird,"1962,2h 9m,Approved,8.3, (,331K,),Rate","8.3, (,331K,),Rate"
115. The Sting,"1973,2h 9m,PG,8.3, (,277K,),Rate","8.3, (,277K,),Rate"
116. A Separation,"2011,2h 3m,PG-13,8.3, (,257K,),Rate","8.3, (,257K,),Rate"
117. Indiana Jones and the Last Crusade,"1989,2h 7m,PG-13,8.2, (,805K,),Rate","8.2, (,805K,),Rate"
118. Die Hard,"1988,2h 12m,R,8.2, (,938K,),Rate","8.2, (,938K,),Rate"
119. Hamilton,"2020,2h 40m,PG-13,8.3, (,111K,),Rate","8.3, (,111K,),Rate"
120. Metropolis,"1927,2h 33m,Not Rated,8.3, (,184K,),Rate","8.3, (,184K,),Rate"
121. Like Stars on Earth,"2007,2h 42m,PG,8.3, (,205K,),Rate","8.3, (,205K,),Rate"
122. Snatch,"2000,1h 42m,R,8.2, (,901K,),Rate","8.2, (,901K,),Rate"
123. Bicycle Thieves,"1948,1h 29m,Not Rated,8.3, (,174K,),Rate","8.3, (,174K,),Rate"
124. L.A. Confidential,"1997,2h 18m,R,8.2, (,613K,),Rate","8.2, (,613K,),Rate"
125. 1917,"2019,1h 59m,R,8.2, (,663K,),Rate","8.2, (,663K,),Rate"
126. Taxi Driver,"1976,1h 54m,R,8.2, (,909K,),Rate","8.2, (,909K,),Rate"
127. Downfall,"2004,2h 36m,R,8.2, (,372K,),Rate","8.2, (,372K,),Rate"
128. Dangal,"2016,2h 41m,Not Rated,8.3, (,208K,),Rate","8.3, (,208K,),Rate"
129. For a Few Dollars More,"1965,2h 12m,R,8.2, (,272K,),Rate","8.2, (,272K,),Rate"
130. Batman Begins,"2005,2h 20m,PG-13,8.2, (,1.6M,),Rate","8.2, (,1.6M,),Rate"
131. Some Like It Hot,"1959,2h 1m,Passed,8.2, (,281K,),Rate","8.2, (,281K,),Rate"
132. The Wolf of Wall Street,"2013,3h,R,8.2, (,1.6M,),Rate","8.2, (,1.6M,),Rate"
133. The Kid,"1921,1h 8m,Passed,8.2, (,134K,),Rate","8.2, (,134K,),Rate"
134. Green Book,"2018,2h 10m,PG-13,8.2, (,556K,),Rate","8.2, (,556K,),Rate"
135. The Father,"2020,1h 37m,PG-13,8.2, (,188K,),Rate","8.2, (,188K,),Rate"
136. Top Gun: Maverick,"2022,2h 10m,PG-13,8.3, (,673K,),Rate","8.3, (,673K,),Rate"
137. Judgment at Nuremberg,"1961,2h 59m,Approved,8.3, (,84K,),Rate","8.3, (,84K,),Rate"
138. All About Eve,"1950,2h 18m,Passed,8.2, (,138K,),Rate","8.2, (,138K,),Rate"
139. The Truman Show,"1998,1h 43m,PG,8.2, (,1.2M,),Rate","8.2, (,1.2M,),Rate"
140. There Will Be Blood,"2007,2h 38m,R,8.2, (,635K,),Rate","8.2, (,635K,),Rate"
141. Shutter Island,"2010,2h 18m,R,8.2, (,1.4M,),Rate","8.2, (,1.4M,),Rate"
142. Casino,"1995,2h 58m,R,8.2, (,558K,),Rate","8.2, (,558K,),Rate"
143. Ran,"1985,2h 40m,R,8.2, (,135K,),Rate","8.2, (,135K,),Rate"
144. Jurassic Park,"1993,2h 7m,PG-13,8.2, (,1.1M,),Rate","8.2, (,1.1M,),Rate"
145. The Sixth Sense,"1999,1h 47m,PG-13,8.2, (,1M,),Rate","8.2, (,1M,),Rate"
146. Pan's Labyrinth,"2006,1h 58m,R,8.2, (,698K,),Rate","8.2, (,698K,),Rate"
147. Unforgiven,"1992,2h 10m,R,8.2, (,433K,),Rate","8.2, (,433K,),Rate"
148. A Beautiful Mind,"2001,2h 15m,PG-13,8.2, (,979K,),Rate","8.2, (,979K,),Rate"
149. No Country for Old Men,"2007,2h 2m,R,8.2, (,1M,),Rate","8.2, (,1M,),Rate"
150. The Treasure of the Sierra Madre,"1948,2h 6m,Passed,8.2, (,131K,),Rate","8.2, (,131K,),Rate"
151. The Thing,"1982,1h 49m,R,8.2, (,461K,),Rate","8.2, (,461K,),Rate"
152. Yojimbo,"1961,1h 50m,Not Rated,8.2, (,130K,),Rate","8.2, (,130K,),Rate"
153. Kill Bill: Vol. 1,"2003,1h 51m,R,8.2, (,1.2M,),Rate","8.2, (,1.2M,),Rate"
154. Monty Python and the Holy Grail,"1975,1h 31m,PG,8.2, (,566K,),Rate","8.2, (,566K,),Rate"
155. The Great Escape,"1963,2h 52m,Approved,8.2, (,257K,),Rate","8.2, (,257K,),Rate"
156. Finding Nemo,"2003,1h 40m,G,8.2, (,1.1M,),Rate","8.2, (,1.1M,),Rate"
157. Rashomon,"1950,1h 28m,Not Rated,8.2, (,179K,),Rate","8.2, (,179K,),Rate"
158. The Elephant Man,"1980,2h 4m,PG,8.2, (,256K,),Rate","8.2, (,256K,),Rate"
159. Howl's Moving Castle,"2004,1h 59m,PG,8.2, (,441K,),Rate","8.2, (,441K,),Rate"
